# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 1.00000000e-01
# Aref          : 1.00000000e-03
# CofR          : (2.00000000e-01 2.00000000e-01 5.00000000e-03)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
2.19            	3.08620375e+00	2.06796778e-18	-4.07767811e-01	4.48544592e-02	-4.73451919e-05	3.39482412e-01	1.58795633e+00	1.49824741e+00	3.39482412e-01	-3.39482412e-01	-2.03931250e-01	-2.03836560e-01
2.1905          	3.08620404e+00	2.06974888e-18	-4.04561430e-01	4.45017573e-02	1.30034310e-06	3.39482445e-01	1.58760378e+00	1.49860027e+00	3.39482445e-01	-3.39482445e-01	-2.02279415e-01	-2.02282015e-01
2.191           	3.08635653e+00	2.07145425e-18	-4.01567463e-01	4.41724210e-02	8.43602207e-03	3.39499218e-01	1.58735069e+00	1.49900584e+00	3.39499218e-01	-3.39499218e-01	-1.92347710e-01	-2.09219754e-01
2.1915          	3.08640642e+00	2.07340457e-18	-3.98671577e-01	4.38538735e-02	1.59214251e-02	3.39504706e-01	1.58705708e+00	1.49934934e+00	3.39504706e-01	-3.39504706e-01	-1.83414363e-01	-2.15257214e-01
2.192           	3.08637451e+00	2.07568202e-18	-3.95519413e-01	4.35071355e-02	2.26265236e-02	3.39501196e-01	1.58669439e+00	1.49968012e+00	3.39501196e-01	-3.39501196e-01	-1.75133183e-01	-2.20386230e-01
2.1925          	3.08622706e+00	2.07835636e-18	-3.92406187e-01	4.31646805e-02	2.86870564e-02	3.39484976e-01	1.58627821e+00	1.49994885e+00	3.39484976e-01	-3.39484976e-01	-1.67516037e-01	-2.24890150e-01
2.193           	3.08618726e+00	2.08128718e-18	-3.89504969e-01	4.28455466e-02	3.42123224e-02	3.39480598e-01	1.58593918e+00	1.50024808e+00	3.39480598e-01	-3.39480598e-01	-1.60540162e-01	-2.28964807e-01
2.1935          	3.08601313e+00	2.08418706e-18	-3.86465562e-01	4.25112118e-02	3.92905736e-02	3.39461444e-01	1.58551778e+00	1.50049535e+00	3.39461444e-01	-3.39461444e-01	-1.53942207e-01	-2.32523355e-01
2.194           	3.08601265e+00	2.08711137e-18	-3.83352840e-01	4.21688124e-02	4.39932926e-02	3.39461391e-01	1.58517514e+00	1.50083751e+00	3.39461391e-01	-3.39461391e-01	-1.47683128e-01	-2.35669713e-01
2.1945          	3.08601164e+00	2.09008731e-18	-3.80462223e-01	4.18508446e-02	4.83785713e-02	3.39461280e-01	1.58485666e+00	1.50115497e+00	3.39461280e-01	-3.39461280e-01	-1.41852540e-01	-2.38609683e-01
