# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 1.00000000e-01
# Aref          : 1.00000000e-03
# CofR          : (2.00000000e-01 2.00000000e-01 5.00000000e-03)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
0.00058823529   	5.87179476e+02	-1.43682676e-14	-9.73727235e-01	1.07109996e-01	7.44844951e-01	6.45897423e+01	2.93696848e+02	2.93482628e+02	6.45897423e+01	-6.45897423e+01	2.57981334e-01	-1.23170857e+00
0.0013122172    	9.28837967e+00	-6.66331686e-18	-8.31839423e-02	9.15023366e-03	6.37214202e-01	1.02172176e+00	4.65334007e+00	4.63503960e+00	1.02172176e+00	-1.02172176e+00	5.95622231e-01	-6.78806173e-01
0.0021809955    	7.85730093e+00	-5.97244351e-18	-1.26592836e-01	1.39252120e-02	5.42489359e-01	8.64303103e-01	3.94257568e+00	3.91472525e+00	8.64303103e-01	-8.64303103e-01	4.79192941e-01	-6.05785777e-01
0.003158371     	6.65084623e+00	-5.46959800e-18	-1.36551043e-01	1.50206148e-02	4.65368602e-01	7.31593085e-01	3.34044373e+00	3.31040250e+00	7.31593085e-01	-7.31593085e-01	3.97093081e-01	-5.33644124e-01
0.0041357466    	5.79836715e+00	-5.05776094e-18	-1.44963360e-01	1.59459696e-02	4.08250753e-01	6.37820386e-01	2.91512954e+00	2.88323760e+00	6.37820386e-01	-6.37820386e-01	3.35769073e-01	-4.80732433e-01
0.0051131222    	5.16072872e+00	-4.70698950e-18	-1.52323174e-01	1.67555491e-02	3.64866352e-01	5.67680159e-01	2.59711991e+00	2.56360881e+00	5.67680159e-01	-5.67680159e-01	2.88704766e-01	-4.41027939e-01
0.0060904977    	4.67369453e+00	-4.40375068e-18	-1.59589207e-01	1.75548127e-02	3.30994839e-01	5.14106399e-01	2.35440208e+00	2.31929245e+00	5.14106399e-01	-5.14106399e-01	2.51200236e-01	-4.10789442e-01
0.0070678733    	4.29503198e+00	-4.13995944e-18	-1.66228474e-01	1.82851322e-02	3.03772703e-01	4.72453518e-01	2.16580112e+00	2.12923086e+00	4.72453518e-01	-4.72453518e-01	2.20658465e-01	-3.86886940e-01
0.0080452489    	3.99401117e+00	-3.90500813e-18	-1.73829942e-01	1.91212937e-02	2.81242746e-01	4.39341229e-01	2.01612688e+00	1.97788429e+00	4.39341229e-01	-4.39341229e-01	1.94327774e-01	-3.68157717e-01
0.0090226244    	3.75071600e+00	-3.69289840e-18	-1.81119913e-01	1.99231904e-02	2.62054743e-01	4.12578760e-01	1.89528119e+00	1.85543481e+00	4.12578760e-01	-4.12578760e-01	1.71494786e-01	-3.52614699e-01
