# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 1.00000000e-01
# Aref          : 1.00000000e-03
# CofR          : (2.00000000e-01 2.00000000e-01 5.00000000e-03)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
0.0005          	6.89122895e+02	-1.70154536e-14	-1.09060848e+00	1.19966933e-01	9.49806344e-04	7.58035184e+01	3.44681414e+02	3.44441480e+02	7.58035184e+01	-7.58035184e+01	-5.44354433e-01	-5.46254046e-01
0.001           	9.94896045e+00	-7.16322193e-18	-4.01386602e-03	4.41525262e-04	6.32739122e-04	1.09438565e+00	4.97492175e+00	4.97403870e+00	1.09438565e+00	-1.09438565e+00	-1.37419389e-03	-2.63967213e-03
0.0015          	8.93003508e+00	-6.38535437e-18	-3.50909910e-02	3.86000901e-03	4.09749783e-04	9.82303859e-01	4.46887755e+00	4.46115753e+00	9.82303859e-01	-9.82303859e-01	-1.71357457e-02	-1.79552453e-02
0.002           	7.98124408e+00	-6.05539072e-18	-2.17304877e-02	2.39035364e-03	2.54755112e-04	8.77936849e-01	3.99301240e+00	3.98823169e+00	8.77936849e-01	-8.77936849e-01	-1.06104887e-02	-1.11199989e-02
0.0025          	7.25907626e+00	-5.78386752e-18	-1.37015596e-02	1.50717156e-03	1.48488244e-04	7.98498389e-01	3.63104530e+00	3.62803096e+00	7.98498389e-01	-7.98498389e-01	-6.70229157e-03	-6.99926806e-03
0.003           	6.66264068e+00	-5.53757100e-18	-1.09531563e-02	1.20484720e-03	7.69997504e-05	7.32890475e-01	3.33252519e+00	3.33011549e+00	7.32890475e-01	-7.32890475e-01	-5.39957842e-03	-5.55357792e-03
0.0035          	6.16271280e+00	-5.31567343e-18	-9.31685314e-03	1.02485385e-03	3.01142882e-05	6.77898408e-01	3.08238126e+00	3.08033155e+00	6.77898408e-01	-6.77898408e-01	-4.62831228e-03	-4.68854086e-03
0.004           	5.74215877e+00	-5.11295517e-18	-8.31219662e-03	9.14341629e-04	5.25988913e-07	6.31637465e-01	2.87199373e+00	2.87016504e+00	6.31637465e-01	-6.31637465e-01	-4.15557232e-03	-4.15662430e-03
0.0045          	5.38318609e+00	-4.92608832e-18	-8.03749290e-03	8.84124219e-04	-1.71011970e-05	5.92150470e-01	2.69247717e+00	2.69070892e+00	5.92150470e-01	-5.92150470e-01	-4.03584765e-03	-4.00164525e-03
0.005           	5.07508155e+00	-4.75299892e-18	-7.40794979e-03	8.14874477e-04	-2.65281573e-05	5.58258971e-01	2.53835565e+00	2.53672590e+00	5.58258971e-01	-5.58258971e-01	-3.73050305e-03	-3.67744674e-03
0.0055          	4.80948331e+00	-4.59393514e-18	-6.37356197e-03	7.01091817e-04	-3.04932203e-05	5.29043164e-01	2.40544275e+00	2.40404056e+00	5.29043164e-01	-5.29043164e-01	-3.21727421e-03	-3.15628777e-03
0.006           	4.57917456e+00	-4.44660195e-18	-5.84418770e-03	6.42860647e-04	-3.08969958e-05	5.03709201e-01	2.29023014e+00	2.28894442e+00	5.03709201e-01	-5.03709201e-01	-2.95299085e-03	-2.89119686e-03
0.0065          	4.37768164e+00	-4.30903201e-18	-5.43213946e-03	5.97535340e-04	-2.90429053e-05	4.81544980e-01	2.18943835e+00	2.18824328e+00	4.81544980e-01	-4.81544980e-01	-2.74511263e-03	-2.68702682e-03
0.007           	4.20099280e+00	-4.18046633e-18	-4.94722885e-03	5.44195173e-04	-2.58457500e-05	4.62109208e-01	2.10104059e+00	2.09995220e+00	4.62109208e-01	-4.62109208e-01	-2.49946017e-03	-2.44776867e-03
0.0075          	4.04367933e+00	-4.05707172e-18	-5.13731038e-03	5.65104142e-04	-2.19376481e-05	4.44804726e-01	2.02240477e+00	2.02127456e+00	4.44804726e-01	-4.44804726e-01	-2.59059284e-03	-2.54671754e-03
0.008           	3.90441415e+00	-3.94175275e-18	-4.99586030e-03	5.49544633e-04	-1.77833289e-05	4.29485557e-01	1.95275662e+00	1.95165753e+00	4.29485557e-01	-4.29485557e-01	-2.51571348e-03	-2.48014682e-03
0.0085          	3.78014448e+00	-3.83295123e-18	-4.88685160e-03	5.37553676e-04	-1.36421037e-05	4.15815893e-01	1.89060979e+00	1.88953469e+00	4.15815893e-01	-4.15815893e-01	-2.45706790e-03	-2.42978370e-03
0.009           	3.66853714e+00	-3.73048664e-18	-4.59862284e-03	5.05848513e-04	-9.68657411e-06	4.03539085e-01	1.83477442e+00	1.83376272e+00	4.03539085e-01	-4.03539085e-01	-2.30899800e-03	-2.28962485e-03
0.0095          	3.56775073e+00	-3.63289444e-18	-4.28785413e-03	4.71663954e-04	-6.08009514e-06	3.92452580e-01	1.78434703e+00	1.78340370e+00	3.92452580e-01	-3.92452580e-01	-2.15000716e-03	-2.13784697e-03
0.01            	3.47627559e+00	-3.53919108e-18	-3.91324406e-03	4.30456847e-04	-2.93683061e-06	3.82390315e-01	1.73856825e+00	1.73770734e+00	3.82390315e-01	-3.82390315e-01	-1.95955886e-03	-1.95368520e-03
0.0105          	3.39303395e+00	-3.45020602e-18	-3.61829937e-03	3.98012930e-04	-2.13939040e-07	3.73233735e-01	1.69691499e+00	1.69611896e+00	3.73233735e-01	-3.73233735e-01	-1.80936362e-03	-1.80893575e-03
0.011           	3.31682729e+00	-3.36528763e-18	-3.87427599e-03	4.26170359e-04	2.07438536e-06	3.64851002e-01	1.65883982e+00	1.65798748e+00	3.64851002e-01	-3.64851002e-01	-1.93506361e-03	-1.93921238e-03
0.0115          	3.24713191e+00	-3.28477533e-18	-3.40780200e-03	3.74858220e-04	3.99745871e-06	3.57184511e-01	1.62394082e+00	1.62319110e+00	3.57184511e-01	-3.57184511e-01	-1.69990354e-03	-1.70789846e-03
0.012           	3.18275884e+00	-3.20704374e-18	-3.13583882e-03	3.44942270e-04	5.55260382e-06	3.50103472e-01	1.59172436e+00	1.59103448e+00	3.50103472e-01	-3.50103472e-01	-1.56236680e-03	-1.57347201e-03
0.0125          	3.12301105e+00	-3.13198942e-18	-3.31704676e-03	3.64875143e-04	6.77183871e-06	3.43531215e-01	1.56187040e+00	1.56114065e+00	3.43531215e-01	-3.43531215e-01	-1.65175154e-03	-1.66529522e-03
0.013           	3.06853038e+00	-3.05894406e-18	-2.69100763e-03	2.96010839e-04	7.72040378e-06	3.37538341e-01	1.53456120e+00	1.53396918e+00	3.37538341e-01	-3.37538341e-01	-1.33778341e-03	-1.35322422e-03
0.0135          	3.01817276e+00	-2.98807628e-18	-2.18237738e-03	2.40061512e-04	8.40075174e-06	3.31999004e-01	1.50932644e+00	1.50884632e+00	3.31999004e-01	-3.31999004e-01	-1.08278794e-03	-1.09958944e-03
0.014           	2.97070103e+00	-2.92068788e-18	-2.04440591e-03	2.24884650e-04	8.83672964e-06	3.26777113e-01	1.48557540e+00	1.48512563e+00	3.26777113e-01	-3.26777113e-01	-1.01336622e-03	-1.03103968e-03
0.0145          	2.92624872e+00	-2.85565580e-18	-2.05398530e-03	2.25938383e-04	9.06782350e-06	3.21887359e-01	1.46335030e+00	1.46289842e+00	3.21887359e-01	-3.21887359e-01	-1.01792483e-03	-1.03606048e-03
0.015           	2.88467610e+00	-2.79282928e-18	-1.65545932e-03	1.82100526e-04	9.10497187e-06	3.17314370e-01	1.44252015e+00	1.44215595e+00	3.17314370e-01	-3.17314370e-01	-8.18624690e-04	-8.36834633e-04
0.0155          	2.84585639e+00	-2.73204213e-18	-1.89343874e-03	2.08278262e-04	8.96587606e-06	3.13044202e-01	1.42313647e+00	1.42271991e+00	3.13044202e-01	-3.13044202e-01	-9.37753495e-04	-9.55685247e-04
0.016           	2.80942264e+00	-2.67254141e-18	-2.33328476e-03	2.56661324e-04	8.65311544e-06	3.09036491e-01	1.40496798e+00	1.40445466e+00	3.09036491e-01	-3.09036491e-01	-1.15798926e-03	-1.17529550e-03
0.0165          	2.77510918e+00	-2.61509673e-18	-2.46232427e-03	2.70855670e-04	8.20200118e-06	3.05262010e-01	1.38782545e+00	1.38728374e+00	3.05262010e-01	-3.05262010e-01	-1.22296014e-03	-1.23936414e-03
0.017           	2.74303471e+00	-2.55972713e-18	-1.68459216e-03	1.85305138e-04	7.62323067e-06	3.01733818e-01	1.37170266e+00	1.37133205e+00	3.01733818e-01	-3.01733818e-01	-8.34672850e-04	-8.49919312e-04
0.0175          	2.71283210e+00	-2.50627615e-18	-8.95757560e-04	9.85333316e-05	6.91544089e-06	2.98411531e-01	1.35651458e+00	1.35631752e+00	2.98411531e-01	-2.98411531e-01	-4.40963339e-04	-4.54794221e-04
0.018           	2.68447771e+00	-2.45369328e-18	-9.02213187e-04	9.92434505e-05	6.05651748e-06	2.95292548e-01	1.34233810e+00	1.34213961e+00	2.95292548e-01	-2.95292548e-01	-4.45050076e-04	-4.57163111e-04
0.0185          	2.65777450e+00	-2.40282850e-18	-2.95130432e-04	3.24643475e-05	5.05547962e-06	2.92355195e-01	1.32891972e+00	1.32885479e+00	2.92355195e-01	-2.92355195e-01	-1.42509736e-04	-1.52620696e-04
0.019           	2.63221594e+00	-2.35304529e-18	-2.15028126e-04	2.36530939e-05	3.91303126e-06	2.89543754e-01	1.31613162e+00	1.31608432e+00	2.89543754e-01	-2.89543754e-01	-1.03601032e-04	-1.11427094e-04
0.0195          	2.60822216e+00	-2.30428170e-18	-4.14613670e-04	4.56075037e-05	2.62250344e-06	2.86904438e-01	1.30415669e+00	1.30406547e+00	2.86904438e-01	-2.86904438e-01	-2.04684331e-04	-2.09929338e-04
0.02            	2.58551304e+00	-2.25677110e-18	-6.09744761e-04	6.70719237e-05	1.19819343e-06	2.84406434e-01	1.29282359e+00	1.29268945e+00	2.84406434e-01	-2.84406434e-01	-3.03674187e-04	-3.06070574e-04
0.0205          	2.56416259e+00	-2.21032630e-18	-9.24448182e-04	1.01689300e-04	-3.55458327e-07	2.82057884e-01	1.28218298e+00	1.28197960e+00	2.82057884e-01	-2.82057884e-01	-4.62579549e-04	-4.61868633e-04
0.021           	2.54389085e+00	-2.16499444e-18	-1.15945450e-03	1.27539995e-04	-2.03661835e-06	2.79827994e-01	1.27207297e+00	1.27181789e+00	2.79827994e-01	-2.79827994e-01	-5.81763866e-04	-5.77690630e-04
0.0215          	2.52459298e+00	-2.12080211e-18	-1.17958190e-03	1.29754009e-04	-3.83346218e-06	2.77705228e-01	1.26242624e+00	1.26216674e+00	2.77705228e-01	-2.77705228e-01	-5.93624413e-04	-5.85957489e-04
0.022           	2.50629155e+00	-2.07791317e-18	-9.86666975e-04	1.08533367e-04	-5.73872781e-06	2.75692071e-01	1.25325431e+00	1.25303724e+00	2.75692071e-01	-2.75692071e-01	-4.99072215e-04	-4.87594760e-04
0.0225          	2.48895306e+00	-2.03587092e-18	-9.62632599e-04	1.05889586e-04	-7.75547467e-06	2.73784837e-01	1.24458242e+00	1.24437064e+00	2.73784837e-01	-2.73784837e-01	-4.89071774e-04	-4.73560825e-04
0.023           	2.47249406e+00	-1.99481943e-18	-9.46364765e-04	1.04100124e-04	-9.88298980e-06	2.71974346e-01	1.23635113e+00	1.23614293e+00	2.71974346e-01	-2.71974346e-01	-4.83065372e-04	-4.63299393e-04
0.0235          	2.45692343e+00	-1.95468687e-18	-8.98024849e-04	9.87827334e-05	-1.21197609e-05	2.70261577e-01	1.22856050e+00	1.22836293e+00	2.70261577e-01	-2.70261577e-01	-4.61132185e-04	-4.36892664e-04
0.024           	2.44209516e+00	-1.91527720e-18	-9.87305140e-04	1.08603565e-04	-1.44624969e-05	2.68630467e-01	1.22115618e+00	1.22093897e+00	2.68630467e-01	-2.68630467e-01	-5.08115067e-04	-4.79190073e-04
0.0245          	2.42803646e+00	-1.87678598e-18	-1.03081269e-03	1.13389396e-04	-1.69080393e-05	2.67084011e-01	1.21413162e+00	1.21390484e+00	2.67084011e-01	-2.67084011e-01	-5.32314383e-04	-4.98498305e-04
0.025           	2.41459109e+00	-1.83915062e-18	-1.03428434e-03	1.13771277e-04	-1.94537437e-05	2.65605020e-01	1.20740932e+00	1.20718177e+00	2.65605020e-01	-2.65605020e-01	-5.36595914e-04	-4.97688426e-04
0.0255          	2.40204330e+00	-1.80200074e-18	-1.45015881e-03	1.59517469e-04	-2.20930468e-05	2.64224763e-01	1.20118117e+00	1.20086213e+00	2.64224763e-01	-2.64224763e-01	-7.47172451e-04	-7.02986357e-04
0.026           	2.39013948e+00	-1.76599124e-18	-1.30466913e-03	1.43513605e-04	-2.48247819e-05	2.62915343e-01	1.19521325e+00	1.19492623e+00	2.62915343e-01	-2.62915343e-01	-6.77159348e-04	-6.27509784e-04
0.0265          	2.37876126e+00	-1.73081759e-18	-5.89084723e-04	6.47993195e-05	-2.76451344e-05	2.61663739e-01	1.18944543e+00	1.18931583e+00	2.61663739e-01	-2.61663739e-01	-3.22187496e-04	-2.66897227e-04
0.027           	2.36801673e+00	-1.69608064e-18	-8.42459879e-04	9.26705866e-05	-3.05609213e-05	2.60481840e-01	1.18410103e+00	1.18391569e+00	2.60481840e-01	-2.60481840e-01	-4.51790861e-04	-3.90669018e-04
0.0275          	2.35792810e+00	-1.66184607e-18	-7.48502543e-04	8.23352797e-05	-3.35552559e-05	2.59372091e-01	1.17904638e+00	1.17888171e+00	2.59372091e-01	-2.59372091e-01	-4.07806527e-04	-3.40696015e-04
0.028           	2.34831342e+00	-1.62854620e-18	-9.93935633e-04	1.09332920e-04	-3.66279890e-05	2.58314476e-01	1.17426604e+00	1.17404738e+00	2.58314476e-01	-2.58314476e-01	-5.33595806e-04	-4.60339828e-04
0.0285          	2.33898641e+00	-1.59499054e-18	-1.11223189e-03	1.22345508e-04	-3.97456563e-05	2.57288505e-01	1.16961555e+00	1.16937086e+00	2.57288505e-01	-2.57288505e-01	-5.95861601e-04	-5.16370288e-04
0.029           	2.33033647e+00	-1.56324813e-18	-1.34245734e-03	1.47670308e-04	-4.29755545e-05	2.56337011e-01	1.16531590e+00	1.16502056e+00	2.56337011e-01	-2.56337011e-01	-7.14204226e-04	-6.28253117e-04
0.0295          	2.32209503e+00	-1.53234437e-18	-1.28977641e-03	1.41875405e-04	-4.62478880e-05	2.55430453e-01	1.16118939e+00	1.16090564e+00	2.55430453e-01	-2.55430453e-01	-6.91136093e-04	-5.98640318e-04
0.03            	2.31438544e+00	-1.50128779e-18	-1.58001532e-03	1.73801685e-04	-4.95823547e-05	2.54582399e-01	1.15736652e+00	1.15701892e+00	2.54582399e-01	-2.54582399e-01	-8.39590014e-04	-7.40425305e-04
0.0305          	2.30696477e+00	-1.47082859e-18	-2.02405232e-03	2.22645755e-04	-5.29886780e-05	2.53766125e-01	1.15370503e+00	1.15325974e+00	2.53766125e-01	-2.53766125e-01	-1.06501484e-03	-9.59037483e-04
0.031           	2.30011341e+00	-1.44072452e-18	-1.87675765e-03	2.06443342e-04	-5.64366136e-05	2.53012475e-01	1.15026315e+00	1.14985026e+00	2.53012475e-01	-2.53012475e-01	-9.94815441e-04	-8.81942214e-04
0.0315          	2.29348634e+00	-1.41126730e-18	-1.95248857e-03	2.14773743e-04	-5.99106117e-05	2.52283497e-01	1.14695794e+00	1.14652840e+00	2.52283497e-01	-2.52283497e-01	-1.03615490e-03	-9.16333673e-04
0.032           	2.28726831e+00	-1.38222637e-18	-2.05653681e-03	2.26219049e-04	-6.34134872e-05	2.51599514e-01	1.14386037e+00	1.14340794e+00	2.51599514e-01	-2.51599514e-01	-1.09168189e-03	-9.64854919e-04
0.0325          	2.28143212e+00	-1.35367707e-18	-2.16938976e-03	2.38632874e-04	-6.69383245e-05	2.50957533e-01	1.14095469e+00	1.14047743e+00	2.50957533e-01	-2.50957533e-01	-1.15163320e-03	-1.01775656e-03
0.033           	2.27603439e+00	-1.32573771e-18	-2.58394445e-03	2.84233889e-04	-7.04975696e-05	2.50363783e-01	1.13830143e+00	1.13773296e+00	2.50363783e-01	-2.50363783e-01	-1.36246979e-03	-1.22147465e-03
0.0335          	2.27075450e+00	-1.29783598e-18	-2.54952819e-03	2.80448101e-04	-7.40749752e-05	2.49782995e-01	1.13565770e+00	1.13509680e+00	2.49782995e-01	-2.49782995e-01	-1.34883907e-03	-1.20068912e-03
