# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 1.00000000e-01
# Aref          : 1.00000000e-03
# CofR          : (2.00000000e-01 2.00000000e-01 5.00000000e-03)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
2.19            	3.04695272e+00	2.78498165e-18	-1.57914998e+00	1.73706498e-01	-4.77733999e-03	3.35164799e-01	1.69718286e+00	1.34976986e+00	3.35164799e-01	-3.35164799e-01	-7.94352329e-01	-7.84797649e-01
2.1905          	3.04642313e+00	2.78770416e-18	-1.57539565e+00	1.73293522e-01	-4.68887612e-03	3.35106544e-01	1.69650509e+00	1.34991804e+00	3.35106544e-01	-3.35106544e-01	-7.92386703e-01	-7.83008951e-01
2.191           	3.04655032e+00	2.79368356e-18	-1.57381253e+00	1.73119379e-01	1.12569142e-02	3.35120535e-01	1.69639454e+00	1.35015578e+00	3.35120535e-01	-3.35120535e-01	-7.75649352e-01	-7.98163181e-01
2.1915          	3.04725343e+00	2.80092830e-18	-1.57261080e+00	1.72987188e-01	2.61819275e-02	3.35197877e-01	1.69661390e+00	1.35063953e+00	3.35197877e-01	-3.35197877e-01	-7.60123474e-01	-8.12487329e-01
2.192           	3.04710798e+00	2.80721534e-18	-1.56731060e+00	1.72404166e-01	4.01890557e-02	3.35181878e-01	1.69595816e+00	1.35114983e+00	3.35181878e-01	-3.35181878e-01	-7.43466244e-01	-8.23844356e-01
2.1925          	3.04792923e+00	2.81609611e-18	-1.56480231e+00	1.72128255e-01	5.33697173e-02	3.35272216e-01	1.69609287e+00	1.35183636e+00	3.35272216e-01	-3.35272216e-01	-7.29031440e-01	-8.35770874e-01
2.193           	3.04785593e+00	2.82419211e-18	-1.56230890e+00	1.71853979e-01	6.58051996e-02	3.35264152e-01	1.69578194e+00	1.35207398e+00	3.35264152e-01	-3.35264152e-01	-7.15349252e-01	-8.46959651e-01
2.1935          	3.04736635e+00	2.83496277e-18	-1.55930367e+00	1.71523403e-01	7.75678409e-02	3.35210298e-01	1.69520658e+00	1.35215977e+00	3.35210298e-01	-3.35210298e-01	-7.02083993e-01	-8.57219675e-01
2.194           	3.04709528e+00	2.84499955e-18	-1.55603305e+00	1.71163635e-01	8.87221403e-02	3.35180480e-01	1.69471127e+00	1.35238400e+00	3.35180480e-01	-3.35180480e-01	-6.89294383e-01	-8.66738663e-01
2.1945          	3.04919972e+00	2.85464766e-18	-1.55646962e+00	1.71211658e-01	9.93253304e-02	3.35411969e-01	1.69581152e+00	1.35338820e+00	3.35411969e-01	-3.35411969e-01	-6.78909480e-01	-8.77560141e-01
2.195           	3.04847216e+00	2.86695566e-18	-1.55135847e+00	1.70649432e-01	1.09428611e-01	3.35331938e-01	1.69488551e+00	1.35358665e+00	3.35331938e-01	-3.35331938e-01	-6.66250625e-01	-8.85107847e-01
2.1955          	3.04884708e+00	2.87650282e-18	-1.55090337e+00	1.70599370e-01	1.19077673e-01	3.35373178e-01	1.69502291e+00	1.35382417e+00	3.35373178e-01	-3.35373178e-01	-6.56374011e-01	-8.94529356e-01
2.196           	3.04914442e+00	2.88920925e-18	-1.54845000e+00	1.70329500e-01	1.28313338e-01	3.35405887e-01	1.69490171e+00	1.35424271e+00	3.35405887e-01	-3.35405887e-01	-6.45911664e-01	-9.02538340e-01
2.1965          	3.04885422e+00	2.89896743e-18	-1.54465882e+00	1.69912470e-01	1.37172110e-01	3.35373964e-01	1.69433958e+00	1.35451464e+00	3.35373964e-01	-3.35373964e-01	-6.35157301e-01	-9.09501521e-01
2.197           	3.04804927e+00	2.91296527e-18	-1.54422185e+00	1.69864403e-01	1.45686620e-01	3.35285420e-01	1.69388904e+00	1.35416023e+00	3.35285420e-01	-3.35285420e-01	-6.26424303e-01	-9.17797544e-01
2.1975          	3.04732303e+00	2.92707789e-18	-1.54032585e+00	1.69435844e-01	1.53885805e-01	3.35205533e-01	1.69309736e+00	1.35422567e+00	3.35205533e-01	-3.35205533e-01	-6.16277122e-01	-9.24048732e-01
2.198           	3.04659836e+00	2.93806122e-18	-1.53511750e+00	1.68862925e-01	1.61796258e-01	3.35125819e-01	1.69216210e+00	1.35443625e+00	3.35125819e-01	-3.35125819e-01	-6.05762493e-01	-9.29355009e-01
2.1985          	3.04591031e+00	2.95098369e-18	-1.53205327e+00	1.68525860e-01	1.69441634e-01	3.35050134e-01	1.69148101e+00	1.35442929e+00	3.35050134e-01	-3.35050134e-01	-5.96585001e-01	-9.35468270e-01
2.199           	3.04453467e+00	2.96203844e-18	-1.52927576e+00	1.68220333e-01	1.76843426e-01	3.34898813e-01	1.69048767e+00	1.35404700e+00	3.34898813e-01	-3.34898813e-01	-5.87794453e-01	-9.41481305e-01
2.1995          	3.04439964e+00	2.98004427e-18	-1.52545989e+00	1.67800588e-01	1.84020167e-01	3.34883960e-01	1.69000041e+00	1.35439923e+00	3.34883960e-01	-3.34883960e-01	-5.78709777e-01	-9.46750112e-01
2.2             	3.04311203e+00	2.99506871e-18	-1.52258354e+00	1.67484190e-01	1.90988948e-01	3.34742324e-01	1.68904021e+00	1.35407183e+00	3.34742324e-01	-3.34742324e-01	-5.70302824e-01	-9.52280721e-01
2.2005          	3.04200780e+00	3.01040527e-18	-1.51888983e+00	1.67077881e-01	1.97765243e-01	3.34620858e-01	1.68808178e+00	1.35392602e+00	3.34620858e-01	-3.34620858e-01	-5.61679672e-01	-9.57210158e-01
2.201           	3.04032096e+00	3.02605955e-18	-1.51435855e+00	1.66579441e-01	1.88194462e-01	3.34435305e-01	1.68673992e+00	1.35358104e+00	3.34435305e-01	-3.34435305e-01	-5.68984814e-01	-9.45373739e-01
2.2015          	3.04102820e+00	3.03793540e-18	-1.51195561e+00	1.66315118e-01	1.79499164e-01	3.34513102e-01	1.68682922e+00	1.35419898e+00	3.34513102e-01	-3.34513102e-01	-5.76478643e-01	-9.35476971e-01
2.202           	3.04013384e+00	3.05213785e-18	-1.50811087e+00	1.65892195e-01	1.71585793e-01	3.34414722e-01	1.68595911e+00	1.35417472e+00	3.34414722e-01	-3.34414722e-01	-5.82469640e-01	-9.25641226e-01
2.2025          	3.03907678e+00	3.06568315e-18	-1.50398152e+00	1.65437967e-01	1.64371476e-01	3.34298446e-01	1.68497636e+00	1.35410042e+00	3.34298446e-01	-3.34298446e-01	-5.87619282e-01	-9.16362235e-01
2.203           	3.03839551e+00	3.07843219e-18	-1.49963027e+00	1.64959329e-01	1.57782754e-01	3.34223506e-01	1.68415708e+00	1.35423843e+00	3.34223506e-01	-3.34223506e-01	-5.92032379e-01	-9.07597888e-01
2.2035          	3.03723713e+00	3.09113801e-18	-1.49458617e+00	1.64404479e-01	1.51754431e-01	3.34096084e-01	1.68302304e+00	1.35421409e+00	3.34096084e-01	-3.34096084e-01	-5.95538654e-01	-8.99047516e-01
2.204           	3.03655325e+00	3.10285937e-18	-1.49048604e+00	1.63953465e-01	1.46228631e-01	3.34020858e-01	1.68223009e+00	1.35432316e+00	3.34020858e-01	-3.34020858e-01	-5.99014392e-01	-8.91471653e-01
2.2045          	3.03564081e+00	3.11545528e-18	-1.48551082e+00	1.63406191e-01	1.41153938e-01	3.33920489e-01	1.68122660e+00	1.35441422e+00	3.33920489e-01	-3.33920489e-01	-6.01601473e-01	-8.83909350e-01
2.205           	3.03446947e+00	3.12798450e-18	-1.47948992e+00	1.62743891e-01	1.36484649e-01	3.33791641e-01	1.67997862e+00	1.35449084e+00	3.33791641e-01	-3.33791641e-01	-6.03260309e-01	-8.76229607e-01
2.2055          	3.03329164e+00	3.14019817e-18	-1.47223510e+00	1.61945861e-01	1.32180118e-01	3.33662081e-01	1.67859168e+00	1.35469996e+00	3.33662081e-01	-3.33662081e-01	-6.03937430e-01	-8.68297665e-01
2.206           	3.03310171e+00	3.14966335e-18	-1.46791554e+00	1.61470710e-01	1.28204159e-01	3.33641188e-01	1.67802157e+00	1.35508015e+00	3.33641188e-01	-3.33641188e-01	-6.05753613e-01	-8.62161931e-01
2.2065          	3.03185387e+00	3.16046820e-18	-1.46186363e+00	1.60804999e-01	1.24524563e-01	3.33503926e-01	1.67673194e+00	1.35512194e+00	3.33503926e-01	-3.33503926e-01	-6.06407251e-01	-8.55456377e-01
