# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 1.00000000e-01
# Aref          : 1.00000000e-03
# CofR          : (2.00000000e-01 2.00000000e-01 5.00000000e-03)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
0.00058823529   	5.82221250e+02	-1.47231898e-14	-9.13580260e-01	1.00493829e-01	-6.91808829e-02	6.40443375e+01	2.91211119e+02	2.91010131e+02	6.40443375e+01	-6.40443375e+01	-5.25971013e-01	-3.87609247e-01
0.0013122172    	5.44336147e+00	-1.79776312e-18	1.53266999e-02	-1.68593699e-03	-1.47471337e-01	5.98769762e-01	2.71999480e+00	2.72336667e+00	5.98769762e-01	-5.98769762e-01	-1.39807987e-01	1.55134687e-01
0.0021809955    	4.88017956e+00	-1.48446372e-18	1.43895642e-02	-1.58285206e-03	-2.31985061e-01	5.36819752e-01	2.43850693e+00	2.44167263e+00	5.36819752e-01	-5.36819752e-01	-2.24790279e-01	2.39179843e-01
0.003158371     	4.33212641e+00	-1.31093351e-18	4.58157775e-02	-5.03973553e-03	-3.17001788e-01	4.76533906e-01	2.16102347e+00	2.17110294e+00	4.76533906e-01	-4.76533906e-01	-2.94093899e-01	3.39909676e-01
0.0041357466    	3.93180454e+00	-1.16247581e-18	7.64886098e-02	-8.41374708e-03	-3.93406608e-01	4.32498500e-01	1.95748852e+00	1.97431602e+00	4.32498500e-01	-4.32498500e-01	-3.55162303e-01	4.31650913e-01
0.0051131222    	3.60186089e+00	-1.03973357e-18	1.04336561e-01	-1.14770217e-02	-4.62372506e-01	3.96204698e-01	1.78945342e+00	1.81240747e+00	3.96204698e-01	-3.96204698e-01	-4.10204225e-01	5.14540786e-01
0.0060904977    	3.32924803e+00	-9.30304055e-19	1.31369263e-01	-1.44506190e-02	-5.24837617e-01	3.66217283e-01	1.65017340e+00	1.67907463e+00	3.66217283e-01	-3.66217283e-01	-4.59152985e-01	5.90522248e-01
0.0070678733    	3.10139552e+00	-8.32837665e-19	1.59994171e-01	-1.75993589e-02	-5.81554059e-01	3.41153507e-01	1.53309840e+00	1.56829712e+00	3.41153507e-01	-3.41153507e-01	-5.01556973e-01	6.61551145e-01
0.0080452489    	2.90985424e+00	-7.44517475e-19	1.86592829e-01	-2.05252112e-02	-6.33127726e-01	3.20083966e-01	1.43440191e+00	1.47545233e+00	3.20083966e-01	-3.20083966e-01	-5.39831312e-01	7.26424140e-01
0.0090226244    	2.74844806e+00	-6.67177012e-19	2.15503151e-01	-2.37053466e-02	-6.80046130e-01	3.02329286e-01	1.35051868e+00	1.39792938e+00	3.02329286e-01	-3.02329286e-01	-5.72294555e-01	7.87797706e-01
0.01            	2.61056784e+00	-5.95380133e-19	2.44629493e-01	-2.69092442e-02	-7.22703644e-01	2.87162462e-01	1.27837467e+00	1.33219316e+00	2.87162462e-01	-2.87162462e-01	-6.00388898e-01	8.45018390e-01
0.011           	2.49007566e+00	-5.29289493e-19	2.74109731e-01	-3.01520704e-02	-7.62258175e-01	2.73908322e-01	1.21488576e+00	1.27518990e+00	2.73908322e-01	-2.73908322e-01	-6.25203309e-01	8.99313040e-01
0.012           	2.38803934e+00	-4.69223765e-19	3.08409738e-01	-3.39250712e-02	-7.97971585e-01	2.62684327e-01	1.16009460e+00	1.22794474e+00	2.62684327e-01	-2.62684327e-01	-6.43766716e-01	9.52176454e-01
0.013           	2.30047733e+00	-4.16007058e-19	3.41608775e-01	-3.75769652e-02	-8.30069035e-01	2.53052507e-01	1.11266170e+00	1.18781563e+00	2.53052507e-01	-2.53052507e-01	-6.59264648e-01	1.00087342e+00
0.014           	2.22520125e+00	-3.69125922e-19	3.76882879e-01	-4.14571166e-02	-8.58733152e-01	2.44772137e-01	1.07114351e+00	1.15405774e+00	2.44772137e-01	-2.44772137e-01	-6.70291713e-01	1.04717459e+00
0.015           	2.16004874e+00	-3.29008014e-19	4.12252960e-01	-4.53478256e-02	-8.84115798e-01	2.37605361e-01	1.03467654e+00	1.12537220e+00	2.37605361e-01	-2.37605361e-01	-6.77989318e-01	1.09024228e+00
0.016           	2.10371421e+00	-2.86263278e-19	4.48956259e-01	-4.93851885e-02	-9.06342729e-01	2.31408564e-01	1.00247192e+00	1.10124230e+00	2.31408564e-01	-2.31408564e-01	-6.81864599e-01	1.13082086e+00
0.017           	2.05423936e+00	-2.52593023e-19	4.85358558e-01	-5.33894414e-02	-9.25518522e-01	2.25966329e-01	9.73730238e-01	1.08050912e+00	2.25966329e-01	-2.25966329e-01	-6.82839242e-01	1.16819780e+00
0.018           	2.01168828e+00	-2.19438831e-19	5.20944879e-01	-5.73039367e-02	-9.41732744e-01	2.21285711e-01	9.48540204e-01	1.06314808e+00	2.21285711e-01	-2.21285711e-01	-6.81260304e-01	1.20220518e+00
0.019           	1.97578441e+00	-1.87932798e-19	5.57142283e-01	-6.12856511e-02	-9.55062293e-01	2.17336285e-01	9.26606555e-01	1.04917786e+00	2.17336285e-01	-2.17336285e-01	-6.76491152e-01	1.23363343e+00
0.02            	1.94384913e+00	-1.58340060e-19	5.93128147e-01	-6.52440961e-02	-9.65574846e-01	2.13823405e-01	9.06680470e-01	1.03716866e+00	2.13823405e-01	-2.13823405e-01	-6.69010773e-01	1.26213892e+00
0.021           	1.91586009e+00	-1.29138878e-19	6.28328592e-01	-6.91161451e-02	-9.73330825e-01	2.10744610e-01	8.88813899e-01	1.02704619e+00	2.10744610e-01	-2.10744610e-01	-6.59166529e-01	1.28749512e+00
0.022           	1.89156296e+00	-1.02073848e-19	6.62716825e-01	-7.28988507e-02	-9.78384847e-01	2.08071925e-01	8.72882628e-01	1.01868033e+00	2.08071925e-01	-2.08071925e-01	-6.47026435e-01	1.30974326e+00
0.023           	1.87085786e+00	-7.80899706e-20	6.96421156e-01	-7.66063272e-02	-9.80787325e-01	2.05794365e-01	8.58822604e-01	1.01203526e+00	2.05794365e-01	-2.05794365e-01	-6.32576747e-01	1.32899790e+00
0.024           	1.85292231e+00	-5.46234085e-20	7.29058024e-01	-8.01963826e-02	-9.80586032e-01	2.03821455e-01	8.46264775e-01	1.00665754e+00	2.03821455e-01	-2.03821455e-01	-6.16057020e-01	1.34511504e+00
0.025           	1.83825250e+00	-3.07428855e-20	7.61381856e-01	-8.37520041e-02	-9.77826926e-01	2.02207775e-01	8.35374248e-01	1.00287826e+00	2.02207775e-01	-2.02207775e-01	-5.97135998e-01	1.35851785e+00
0.026           	1.82661149e+00	-7.74391697e-21	7.94485665e-01	-8.73934232e-02	-9.72554743e-01	2.00927264e-01	8.25912324e-01	1.00069917e+00	2.00927264e-01	-2.00927264e-01	-5.75311910e-01	1.36979758e+00
0.027           	1.81727286e+00	1.46953332e-20	8.26140484e-01	-9.08754532e-02	-9.64813831e-01	1.99900014e-01	8.17760974e-01	9.99511881e-01	1.99900014e-01	-1.99900014e-01	-5.51743589e-01	1.37788407e+00
0.028           	1.81014872e+00	3.85791211e-20	8.57074372e-01	-9.42781809e-02	-9.54648827e-01	1.99116359e-01	8.10796178e-01	9.99352540e-01	1.99116359e-01	-1.99116359e-01	-5.26111641e-01	1.38318601e+00
0.029           	1.80571584e+00	6.15334378e-20	8.87479431e-01	-9.76227374e-02	-9.42105448e-01	1.98628742e-01	8.05235180e-01	1.00048066e+00	1.98628742e-01	-1.98628742e-01	-4.98365732e-01	1.38584516e+00
0.03            	1.80339964e+00	8.43318978e-20	9.17994096e-01	-1.00979351e-01	-9.27230385e-01	1.98373960e-01	8.00720469e-01	1.00267917e+00	1.98373960e-01	-1.98373960e-01	-4.68233337e-01	1.38622743e+00
0.031           	1.80409554e+00	1.07129394e-19	9.47320632e-01	-1.04205269e-01	-9.10071696e-01	1.98450509e-01	7.97842500e-01	1.00625304e+00	1.98450509e-01	-1.98450509e-01	-4.36411380e-01	1.38373201e+00
0.032           	1.80740564e+00	1.32388222e-19	9.75783989e-01	-1.07336239e-01	-8.90679585e-01	1.98814620e-01	7.96366579e-01	1.01103906e+00	1.98814620e-01	-1.98814620e-01	-4.02787591e-01	1.37857158e+00
0.033           	1.81137585e+00	1.55640720e-19	1.00370139e+00	-1.10407153e-01	-8.69106825e-01	1.99251344e-01	7.95280772e-01	1.01609508e+00	1.99251344e-01	-1.99251344e-01	-3.67256128e-01	1.37095752e+00
0.034           	1.81690323e+00	1.77201824e-19	1.02958831e+00	-1.13254714e-01	-8.45408397e-01	1.99859355e-01	7.95196899e-01	1.02170633e+00	1.99859355e-01	-1.99859355e-01	-3.30614241e-01	1.36020255e+00
0.035           	1.82321070e+00	2.02121817e-19	1.05457126e+00	-1.16002839e-01	-8.19641876e-01	2.00553177e-01	7.95602510e-01	1.02760819e+00	2.00553177e-01	-2.00553177e-01	-2.92356245e-01	1.34692751e+00
0.036           	1.83054212e+00	2.27889298e-19	1.07736272e+00	-1.18509899e-01	-7.91867733e-01	2.01359634e-01	7.96761162e-01	1.03378096e+00	2.01359634e-01	-2.01359634e-01	-2.53186373e-01	1.33054909e+00
0.037           	1.84047305e+00	2.51280702e-19	1.10133201e+00	-1.21146521e-01	-7.62149336e-01	2.02452035e-01	7.99090003e-01	1.04138304e+00	2.02452035e-01	-2.02452035e-01	-2.11483333e-01	1.31281534e+00
0.038           	1.85004179e+00	2.76230760e-19	1.12345591e+00	-1.23580150e-01	-7.30553318e-01	2.03504597e-01	8.01440744e-01	1.04860104e+00	2.03504597e-01	-2.03504597e-01	-1.68825365e-01	1.29228127e+00
0.039           	1.86029223e+00	3.01952110e-19	1.14418972e+00	-1.25860870e-01	-6.97149349e-01	2.04632145e-01	8.04285244e-01	1.05600698e+00	2.04632145e-01	-2.04632145e-01	-1.25054487e-01	1.26924421e+00
