# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 1.00000000e-01
# Aref          : 1.00000000e-03
# CofR          : (2.00000000e-01 2.00000000e-01 5.00000000e-03)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
0.0005          	6.84025067e+02	-1.73890268e-14	-1.07795501e+00	1.18575052e-01	5.69350600e-04	7.52427574e+01	3.42131109e+02	3.41893959e+02	7.52427574e+01	-7.52427574e+01	-5.38408157e-01	-5.39546858e-01
0.001           	5.74405522e+00	-2.08775046e-18	6.19560841e-04	-6.81516925e-05	4.61773879e-04	6.31846074e-01	2.87195946e+00	2.87209576e+00	6.31846074e-01	-6.31846074e-01	7.71554299e-04	-1.51993458e-04
0.0015          	5.36849777e+00	-1.54318797e-18	-2.92041003e-02	3.21245103e-03	3.72909832e-04	5.90534755e-01	2.68746134e+00	2.68103644e+00	5.90534755e-01	-5.90534755e-01	-1.42291403e-02	-1.49749600e-02
0.002           	4.93433001e+00	-1.40306582e-18	-1.65568132e-02	1.82124946e-03	2.99238786e-04	5.42776301e-01	2.46898626e+00	2.46534376e+00	5.42776301e-01	-5.42776301e-01	-7.97916783e-03	-8.57764540e-03
0.0025          	4.63269713e+00	-1.30343446e-18	-8.01515443e-03	8.81666988e-04	2.38297015e-04	5.09596684e-01	2.31723023e+00	2.31546690e+00	5.09596684e-01	-5.09596684e-01	-3.76928020e-03	-4.24587423e-03
0.003           	4.36787611e+00	-1.21625479e-18	-7.42490351e-03	8.16739386e-04	1.88059683e-04	4.80466372e-01	2.18475480e+00	2.18312132e+00	4.80466372e-01	-4.80466372e-01	-3.52439207e-03	-3.90051144e-03
0.0035          	4.13623114e+00	-1.13775065e-18	-7.03180228e-03	7.73498251e-04	1.46815115e-04	4.54985426e-01	2.06888907e+00	2.06734207e+00	4.54985426e-01	-4.54985426e-01	-3.36908602e-03	-3.66271625e-03
0.004           	3.92911078e+00	-1.06492060e-18	-6.36129563e-03	6.99742519e-04	1.13128938e-04	4.32202186e-01	1.96525513e+00	1.96385565e+00	4.32202186e-01	-4.32202186e-01	-3.06751888e-03	-3.29377675e-03
0.0045          	3.74384912e+00	-9.97058210e-19	-5.83168854e-03	6.41485739e-04	8.57375322e-05	4.11823403e-01	1.87256604e+00	1.87128307e+00	4.11823403e-01	-4.11823403e-01	-2.83010674e-03	-3.00158180e-03
0.005           	3.57804015e+00	-9.31464155e-19	-6.13401207e-03	6.74741328e-04	6.35713025e-05	3.93584417e-01	1.78969482e+00	1.78834534e+00	3.93584417e-01	-3.93584417e-01	-3.00343473e-03	-3.13057734e-03
0.0055          	3.42838693e+00	-8.68525857e-19	-5.91583578e-03	6.50741935e-04	4.57496289e-05	3.77122562e-01	1.71484421e+00	1.71354272e+00	3.77122562e-01	-3.77122562e-01	-2.91216826e-03	-3.00366752e-03
0.006           	3.29204059e+00	-8.06864750e-19	-5.71571216e-03	6.28728338e-04	3.14974651e-05	3.62124465e-01	1.64664902e+00	1.64539157e+00	3.62124465e-01	-3.62124465e-01	-2.82635862e-03	-2.88935355e-03
0.0065          	3.16795228e+00	-7.47149277e-19	-5.41365159e-03	5.95501675e-04	2.01949411e-05	3.48474751e-01	1.58457164e+00	1.58338064e+00	3.48474751e-01	-3.48474751e-01	-2.68663086e-03	-2.72702074e-03
0.007           	3.05528517e+00	-6.90658077e-19	-5.02969152e-03	5.53266067e-04	1.13130734e-05	3.36081368e-01	1.52819585e+00	1.52708932e+00	3.36081368e-01	-3.36081368e-01	-2.50353269e-03	-2.52615883e-03
0.0075          	2.95271210e+00	-6.36440788e-19	-4.59339984e-03	5.05273982e-04	4.43858287e-06	3.24798331e-01	1.47686133e+00	1.47585078e+00	3.24798331e-01	-3.24798331e-01	-2.29226134e-03	-2.30113850e-03
0.008           	2.85927441e+00	-5.83564539e-19	-4.67515095e-03	5.14266604e-04	-8.45480914e-07	3.14520185e-01	1.43015147e+00	1.42912294e+00	3.14520185e-01	-3.14520185e-01	-2.33842096e-03	-2.33672999e-03
0.0085          	2.77377534e+00	-5.32527264e-19	-5.14169031e-03	5.65585934e-04	-4.82620301e-06	3.05115287e-01	1.38745325e+00	1.38632208e+00	3.05115287e-01	-3.05115287e-01	-2.57567136e-03	-2.56601895e-03
0.009           	2.69554315e+00	-4.84512172e-19	-4.93766755e-03	5.43143431e-04	-7.72189883e-06	2.96509747e-01	1.34831472e+00	1.34722843e+00	2.96509747e-01	-2.96509747e-01	-2.47655567e-03	-2.46111188e-03
0.0095          	2.62228144e+00	-4.35816827e-19	-5.68717131e-03	6.25588844e-04	-9.72358016e-06	2.88450959e-01	1.31176631e+00	1.31051513e+00	2.88450959e-01	-2.88450959e-01	-2.85330923e-03	-2.83386207e-03
0.01            	2.55525355e+00	-3.90933375e-19	-5.74292353e-03	6.31721589e-04	-1.09248593e-05	2.81077891e-01	1.27825850e+00	1.27699506e+00	2.81077891e-01	-2.81077891e-01	-2.88238663e-03	-2.86053691e-03
0.0105          	2.49342542e+00	-3.48560492e-19	-5.58894431e-03	6.14783875e-04	-1.14916750e-05	2.74276796e-01	1.24732749e+00	1.24609792e+00	2.74276796e-01	-2.74276796e-01	-2.80596383e-03	-2.78298048e-03
0.011           	2.43728975e+00	-3.07606324e-19	-6.24261193e-03	6.86687312e-04	-1.15777457e-05	2.68101872e-01	1.21933156e+00	1.21795819e+00	2.68101872e-01	-2.68101872e-01	-3.13288371e-03	-3.10972822e-03
0.0115          	2.38469559e+00	-2.68659905e-19	-6.55198561e-03	7.20718417e-04	-1.13201521e-05	2.62316515e-01	1.19306851e+00	1.19162708e+00	2.62316515e-01	-2.62316515e-01	-3.28731295e-03	-3.26467265e-03
0.012           	2.33570658e+00	-2.31442957e-19	-6.48908146e-03	7.13798961e-04	-1.08305383e-05	2.56927724e-01	1.16856709e+00	1.16713949e+00	2.56927724e-01	-2.56927724e-01	-3.25537127e-03	-3.23371019e-03
0.0125          	2.28992246e+00	-1.95024547e-19	-6.75188227e-03	7.42707050e-04	-1.02410780e-05	2.51891471e-01	1.14570394e+00	1.14421853e+00	2.51891471e-01	-2.51891471e-01	-3.38618221e-03	-3.36570006e-03
0.013           	2.24750277e+00	-1.61225317e-19	-5.95163025e-03	6.54679328e-04	-9.58297556e-06	2.47225305e-01	1.12440606e+00	1.12309670e+00	2.47225305e-01	-2.47225305e-01	-2.98539810e-03	-2.96623215e-03
0.0135          	2.20791783e+00	-1.28379332e-19	-5.61245616e-03	6.17370178e-04	-8.93283049e-06	2.42870961e-01	1.10457629e+00	1.10334155e+00	2.42870961e-01	-2.42870961e-01	-2.81516091e-03	-2.79729525e-03
0.014           	2.17088262e+00	-9.69138030e-20	-5.57129001e-03	6.12841901e-04	-8.29898309e-06	2.38797088e-01	1.08605415e+00	1.08482847e+00	2.38797088e-01	-2.38797088e-01	-2.79394399e-03	-2.77734602e-03
0.0145          	2.13631041e+00	-6.66436895e-20	-5.67833148e-03	6.24616463e-04	-7.70141785e-06	2.34994145e-01	1.06877982e+00	1.06753059e+00	2.34994145e-01	-2.34994145e-01	-2.84686716e-03	-2.83146432e-03
0.015           	2.10378821e+00	-3.66480135e-20	-5.63793954e-03	6.20173350e-04	-7.16562005e-06	2.31416704e-01	1.05251428e+00	1.05127393e+00	2.31416704e-01	-2.31416704e-01	-2.82613539e-03	-2.81180415e-03
0.0155          	2.07343273e+00	-6.96086766e-21	-5.73173623e-03	6.30490986e-04	-6.71867108e-06	2.28077600e-01	1.03734685e+00	1.03608587e+00	2.28077600e-01	-2.28077600e-01	-2.87258679e-03	-2.85914945e-03
0.016           	2.04516397e+00	2.16252425e-20	-5.03492325e-03	5.53841558e-04	-6.35432755e-06	2.24968037e-01	1.02313583e+00	1.02202814e+00	2.24968037e-01	-2.24968037e-01	-2.52381595e-03	-2.51110730e-03
0.0165          	2.01847688e+00	4.86040940e-20	-4.54603782e-03	5.00064160e-04	-6.06266600e-06	2.22032457e-01	1.00973850e+00	1.00873838e+00	2.22032457e-01	-2.22032457e-01	-2.27908157e-03	-2.26695624e-03
0.017           	1.99337072e+00	7.46676792e-20	-4.09577701e-03	4.50535471e-04	-5.85175609e-06	2.19270779e-01	9.97135895e-01	9.96234824e-01	2.19270779e-01	-2.19270779e-01	-2.05374026e-03	-2.04203675e-03
0.0175          	1.96950903e+00	1.00318508e-19	-4.20999808e-03	4.63099789e-04	-5.72849364e-06	2.16645993e-01	9.85217614e-01	9.84291414e-01	2.16645993e-01	-2.16645993e-01	-2.11072754e-03	-2.09927055e-03
0.018           	1.94752142e+00	1.25527101e-19	-3.75553265e-03	4.13108591e-04	-5.69403242e-06	2.14227356e-01	9.74173818e-01	9.73347601e-01	2.14227356e-01	-2.14227356e-01	-1.88346036e-03	-1.87207229e-03
0.0185          	1.92646225e+00	1.49773176e-19	-3.44364193e-03	3.78800612e-04	-5.74815954e-06	2.11910847e-01	9.63609924e-01	9.62852322e-01	2.11910847e-01	-2.11910847e-01	-1.72756912e-03	-1.71607280e-03
0.019           	1.90665335e+00	1.73272557e-19	-3.52950446e-03	3.88245490e-04	-5.90097740e-06	2.09731869e-01	9.53714922e-01	9.52938431e-01	2.09731869e-01	-2.09731869e-01	-1.77065321e-03	-1.75885125e-03
