# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 1.00000000e-01
# Aref          : 1.00000000e-03
# CofR          : (2.00000000e-01 2.00000000e-01 5.00000000e-03)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
0.00058823529   	5.87178505e+02	-1.43677337e-14	-9.22901167e-01	1.01519128e-01	-1.29313201e-01	6.45896356e+01	2.93690772e+02	2.93487733e+02	6.45896356e+01	-6.45896356e+01	-5.90763784e-01	-3.32137382e-01
0.0013122172    	9.28757832e+00	-6.69480661e-18	1.76397709e-02	-1.94037479e-03	-2.65763333e-01	1.02163361e+00	4.64184878e+00	4.64572953e+00	1.02163361e+00	-1.02163361e+00	-2.56943448e-01	2.74583218e-01
0.0021809955    	7.85661311e+00	-6.00979862e-18	2.43577515e-02	-2.67935267e-03	-4.03551603e-01	8.64227442e-01	3.92562720e+00	3.93098591e+00	8.64227442e-01	-8.64227442e-01	-3.91372728e-01	4.15730479e-01
0.003158371     	6.65013493e+00	-5.51269495e-18	6.15190047e-02	-6.76709051e-03	-5.34558671e-01	7.31514842e-01	3.31830037e+00	3.33183455e+00	7.31514842e-01	-7.31514842e-01	-5.03799169e-01	5.65318173e-01
0.0041357466    	5.79788401e+00	-5.11533117e-18	9.85456335e-02	-1.08400197e-02	-6.47498344e-01	6.37767241e-01	2.88810198e+00	2.90978202e+00	6.37767241e-01	-6.37767241e-01	-5.98225527e-01	6.96771161e-01
0.0051131222    	5.16063561e+00	-4.77976165e-18	1.32163964e-01	-1.45380361e-02	-7.46478506e-01	5.67669917e-01	2.56577977e+00	2.59485584e+00	5.67669917e-01	-5.67669917e-01	-6.80396523e-01	8.12560488e-01
0.0060904977    	4.67432720e+00	-4.49129712e-18	1.65910513e-01	-1.82501564e-02	-8.34348823e-01	5.14175992e-01	2.31891344e+00	2.35541375e+00	5.14175992e-01	-5.14175992e-01	-7.51393567e-01	9.17304080e-01
0.0070678733    	4.29617626e+00	-4.24262839e-18	2.02852163e-01	-2.23137379e-02	-9.13098552e-01	4.72579389e-01	2.12577439e+00	2.17040187e+00	4.72579389e-01	-4.72579389e-01	-8.11672471e-01	1.01452463e+00
0.0080452489    	3.99610456e+00	-4.02079427e-18	2.40256274e-01	-2.64281902e-02	-9.84137549e-01	4.39571501e-01	1.97162409e+00	2.02448047e+00	4.39571501e-01	-4.39571501e-01	-8.64009412e-01	1.10426569e+00
0.0090226244    	3.75498764e+00	-3.82300153e-18	2.80041098e-01	-3.08045208e-02	-1.04847314e+00	4.13048640e-01	1.84668930e+00	1.90829834e+00	4.13048640e-01	-4.13048640e-01	-9.08452596e-01	1.18849369e+00
